Date,weight kg,
16 apr 2016,96,
17 apr 2016,95,
18 apr 2016,95,
19 apr 2016,96,
20 apr 2016,95,
21 apr 2016,96,
22 apr 2016,94,
23 apr 2016,95,
24 apr 2016,94,
25 apr 2016,95,
26 apr 2016,96,
27 apr 2016,94,
28 apr 2016,94,
29 apr 2016,95,
30 apr 2016,94,
1 may 2016,94,
2 may 2016,93,
3 may 2016,94,
4 may 2016,94,
5 may 2016,93,
6 may 2016,95,
7 may 2016,95,
8 may 2016,94,
9 may 2016,94,
10 may 2016,94,
11 may 2016,94,
12 may 2016,93,
13 may 2016,94,
14 may 2016,94,
15 may 2016,92,
16 may 2016,93,
17 may 2016,93,
18 may 2016,93,
19 may 2016,93,
20 may 2016,95,
21 may 2016,92,
22 may 2016,94,
23 may 2016,93,
24 may 2016,92,?
25 may 2016,91,?
26 may 2016,90,?
27 may 2016,90,?
28 may 2016,89,
29 may 2016,88,
30 may 2016,88,
31 may 2016,88,
1 june 2016,88,
2 june 2016,89,
3 june 2016,90,
4 june 2016,90,
5 june 2016,90,
6 june 2016,90,
7 june 2016,90,
8 june 2016,90,
9 june 2016,90,
10 june 2016,90,
11 june 2016,90,
12 june 2016,90,
13 june 2016,90,
14 june 2016,91,
21 june 2016,93,
